Lineage,Country,Localitynew,Latitude,Longitude_c,Island,Sex,Bill,Wing
Tyto alba,Congo_Belge_Zaire,Butembo,0.12,29.298,0,2,182,296
Tyto alba,Congo_Belge_Zaire,Butembo,0.12,29.2985,0,2,191,310
Tyto alba,Congo_Belge_Zaire,Butembo,0.12,29.299,0,2,181,290
Tyto alba,Congo_Belge_Zaire,Butembo,0.12,29.2995,0,1,192,297
Tyto alba,Congo_Belge_Zaire,Butembo,0.12,29.3,0,1,185,301
Tyto alba,Congo_Belge_Zaire,Butembo,0.12,29.3005,0,1,185,300
Tyto alba,Congo_Belge_Zaire,Butembo,0.12,29.301,0,2,197,306
Tyto alba,Congo_Belge_Zaire,Butembo,0.12,29.3015,0,2,204,302
Tyto alba,Congo_Belge_Zaire,Butembo,0.12,29.302,0,2,188,291
Tyto alba,Congo_Belge_Zaire,Butembo,0.12,29.3025,0,2,204,313
Tyto alba,Congo_Belge_Zaire,Dilolo,-10.28,22.28,0,2,212,287
Tyto alba,Congo_Belge_Zaire,Kinkole,-4.32,15.51,0,2,199,289
Tyto alba,Congo,Brazzaville,-4.25,15.24,0,2,199,284
Tyto alba,Congo_Belge_Zaire,KivuBoutempo,-2.3,28.9,0,NA,171,286
Tyto alba,Erythrea,Gheleb,15.55,38.78,0,1,196,300
Tyto alba,Ethiopia,Wonji,8.45,39.25,0,1,191,294
Tyto alba,Ethiopia,Wonji,8.45,39.2505,0,NA,184,276
Tyto alba,Ethiopia,AbyssiniaSouth,9.53,37.28,0,NA,193,286
Tyto alba,Ethiopia,AddisAbaba,9.03,38.76,0,1,196,294
Tyto alba,Ethiopia,Furri,9.58,39.73,0,NA,188,298
Tyto alba,Ethiopia,AddisAbaba,9.03,38.7615,0,2,199,284
Tyto alba,Ethiopia,AddisAbaba,9.03,38.762,0,2,187,288
Tyto alba,Erythrea,Zoulla,15.23,29.66,0,1,193,301
Tyto alba,Ethiopia,AddisAbaba,9.03,38.763,0,2,186,289
Tyto alba,Ethiopia,DebreZeit,10.6,35.79,0,NA,192,289
Tyto alba,Ethiopia,Gorgora,12.23,37.29,0,2,188,287
Tyto alba,Ethiopia,AddisAbaba,9.03,38.7635,0,2,184,291
Tyto alba,Ethiopia,Gorgora,12.23,37.2905,0,2,195,292
Tyto alba,Ethiopia,AddisAbaba,9.03,38.764,0,2,194,270
Tyto alba,Ethiopia,AddisAbaba,9.03,38.7645,0,2,208,295
Tyto alba,Ethiopia,AddisAbaba,9.03,38.7605,0,2,188,292
Tyto alba,Gabon,Libreville,0.39,9.45,0,NA,212,291
Tyto alba,Gabon,OgooueMaritime,-1.59,9.43,0,1,198,274
Tyto alba,Ghana,Kalakbendse,5.52,-0.29,0,1,182,292
Tyto alba,Ghana,AdaGoldCoast,5.79,0.59,0,2,195,299
Tyto alba,Guinea_Equatorial,IslandBioko,3.45,8.4705,1,NA,183,297
Tyto alba,Guinea_Equatorial,StaIsabel,3.72,8.77,1,1,195,275
Tyto alba,Guinea_Equatorial,IslandBioko,3.45,8.4715,1,2,192,288
Tyto alba,Guinea_Equatorial,IslandBioko,3.45,8.472,1,1,204,290
Tyto alba,Guinée_Bissau,Catio,11.28,-15.25,0,1,196,292
Tyto alba,Guinée_Bissau,Bissau,11.84,-15.61,0,1,194,267
Tyto alba,Ivory_Coast,Lamto,6.2,-5.12,0,2,197,275
Tyto alba,Ivory_Coast,Toumobi,7.42,-5.38,0,NA,191,283
Tyto alba,Ivory_Coast,Beoumi,7.67,-5.58,0,2,187,272
Tyto alba,Ivory_Coast,Bouaké,7.67,-5.111,0,2,191,286
Tyto alba,Ivory_Coast,Bouaké,7.67,-5.1105,0,NA,186,290
Tyto alba,Ivory_Coast,Bouaké,7.67,-5.11,0,2,180,287
Tyto alba,Ivory_Coast,Abidjan,5.34,-4.05,0,2,200,290
Tyto alba,Ivory_Coast,Boundiali,9.31,-6.29,0,1,205,291
Tyto alba,Ivory_Coast,Korhogo,9.27,-5.38,0,1,199,297
Tyto alba,Ivory_Coast,Korhogo,9.27,-5.3805,0,2,217,291
Tyto alba,Kenya,InselimBaringoSea,0.616,36.07,0,NA,215,283
Tyto alba,Kenya,AthiRiver,-1.46,36.98,0,2,200,288
Tyto alba,Kenya,BondoniKapiti,-1.62,37.22,0,2,202,285
Tyto alba,Kenya,FortHall,-0.72,37.15,0,1,201,291
Tyto alba,Kenya,Kapenguria,1.25,35.11,0,2,205,294
Tyto alba,Kenya,Kilimanjaro,-3.04,37.21,0,NA,174,293
Tyto alba,Kenya,LamuIsland,-2.275,40.865,1,1,201,296
Tyto alba,Kenya,Mandaisland,-2.26,40.94,1,2,199,280
Tyto alba,Kenya,Mombasa,-4.04,39.62,0,1,201,284
Tyto alba,Kenya,Nairobi,-1.283,36.831,0,1,188,296
Tyto alba,Kenya,Nairobi,-1.283,36.8315,0,2,192,286
Tyto alba,Kenya,Sommio,-1.36,36.85,0,2,202,287
Tyto alba,Kenya,Witu,-2.38,40.44,0,1,190,281
Tyto alba,Kenya,LeukemiaHills,-4.04,39.4,0,1,196,298
Tyto alba,Kenya,Kikuyu,-1.25,36.68,0,2,204,280
Tyto alba,Kenya,Nairobi,-1.283,36.832,0,2,217,303
Tyto alba,Kenya,Nairobi,-1.283,36.8335,0,2,192,298
Tyto alba,Kenya,Ngong,-1.35,36.67,0,2,191,301
Tyto alba,Kenya,Thika,-1.03,37.05,0,1,210,297
Tyto alba,Kenya,NjoroMau,-0.33,35.95,0,2,184,291
Tyto alba,Kenya,Kwale,-4.18,39.39,0,1,196,284
Tyto alba,Kenya,Kwale,-4.18,39.3905,0,1,194,277
Tyto alba,Kenya,Kilifi,-3.5,39.89,0,2,198,285
Tyto alba,Kenya,MtElgon,1.15,34.56,0,NA,194,289
Tyto alba,Kenya,Nairobi,-1.283,36.834,0,1,187,296
Tyto alba,Kenya,Kitui,-1.37,38.0105,0,2,194,286
Tyto alba,Kenya,Nairobi,-1.283,36.8345,0,1,203,295
Tyto alba,Kenya,Nairobi,-1.283,36.835,0,2,207,291
Tyto alba,Kenya,Nairobi,-1.283,36.8355,0,1,200,287
Tyto alba,Kenya,Nairobi,-1.283,36.836,0,1,188,282
